Ano do �bito,1 Regi�o Norte,2 Regi�o Nordeste,3 Regi�o Sudeste,4 Regi�o Sul,5 Regi�o Centro-Oeste,Total
1996,5945,23240,31993,9163,4683,75024
1997,6153,22058,30168,8258,4763,71400
1998,6686,24018,27644,8588,4754,71690
1999,6953,23620,26105,8097,4570,69345
2000,7223,24528,24400,7677,4371,68199
2001,6898,22509,21510,6827,4199,61943
2002,6454,22216,19726,6508,4012,58916
2003,6579,21672,19270,6170,3849,57540
2004,6325,19441,18415,5946,4056,54183
2005,6078,18867,17362,5403,3834,51544
2006,6120,17064,16586,5070,3492,48332
2007,5683,16142,15561,4722,3262,45370
2008,5594,15221,15313,4711,3261,44100
2009,5506,14701,14827,4367,3241,42642
2010,5212,13176,14178,4249,3055,39870
2011,5001,12994,14205,4426,3090,39716
2012,5007,12506,14202,4257,3151,39123
2013,5098,12695,13809,4148,3216,38966
2014,4958,12091,13908,4286,3189,38432
2015,4785,11835,13603,4249,3029,37501
2016,4691,11509,13254,3916,2980,36350
2017,4726,11512,13086,4054,2845,36223
2018,4824,11284,12907,3941,2908,35864
2019,4664,11018,12800,3957,2854,35293
Total,137163,405917,434832,132990,86664,1197566
 ,,,,,,
