Period,Ano,Americas,Europe,Africa,1 Região Norte,2 Região Nordeste,3 Região Sudeste,4 Região Sul,5 Região Centro-Oeste,Am legal,Semiarido,Z de Fronteira,Extr Pobreza,Capitais,Brasil
1994,1994.0,93.11111111111111,87.13888888888889,79.70454545454545,74.03,94.4,94.31,112.64,64.92,73.62,95.06,72.8,88.56,100.91,88.31
1995,1995.0,94.29629629629629,90.25714285714285,82.11363636363636,102.35,102.4,112.61,96.43,86.15,103.09,101.56,102.63,97.3,109.99,103.63
1996,1996.0,93.70370370370371,91.05714285714286,78.63636363636364,107.61,101.02,107.16,100.73,109.52,105.51,94.49,101.54,90.32,122.09,104.21
1997,1997.0,93.70370370370371,91.58823529411765,77.97727272727273,114.4,115.79,120.77,110.19,120.8,118.12,110.16,110.22,104.66,142.19,117.12
1998,1998.0,92.14814814814815,92.32352941176471,79.54545454545455,99.02,110.03,117.59,104.64,117.64,106.16,99.06,110.12,94.65,136.39,111.61
1999,1999.0,94.62962962962963,93.1470588235294,78.91304347826087,109.17,117.5,122.74,106.92,118.69,113.14,106.7,108.74,101.19,147.86,117.28
2000,2000.0,94.66666666666667,92.97058823529412,79.76086956521739,111.66,114.28,110.69,106.88,116.04,115.55,105.78,116.73,100.29,125.33,111.74
2001,2001.0,94.29629629629629,92.88235294117646,80.43478260869566,119.05,117.62,107.92,107.61,115.75,120.32,111.87,116.48,107.34,121.88,112.6
2002,2002.0,93.5925925925926,92.76470588235294,81.0,119.11,113.79,106.16,104.75,113.88,118.88,106.38,115.47,102.7,118.71,110.28
2003,2003.0,94.25925925925925,92.61764705882354,82.08695652173913,115.16,111.7,104.8,104.26,110.88,116.0,103.45,110.02,99.54,119.67,108.47
2004,2004.0,94.88888888888889,90.1470588235294,84.23913043478261,120.65,120.73,108.96,103.51,114.02,122.27,114.89,106.57,109.51,121.18,113.36
2005,2005.0,94.77777777777777,90.27272727272727,85.52173913043478,132.45,120.85,108.78,103.65,111.93,131.24,114.05,109.86,110.07,124.62,114.48
2006,2006.0,95.03703703703704,91.88235294117646,86.8695652173913,130.46,119.21,106.88,102.79,112.89,131.68,112.69,109.68,107.81,123.13,113.06
2007,2007.0,94.51851851851852,91.6969696969697,87.73913043478261,127.23,117.57,104.08,101.46,114.0,130.79,108.82,106.77,105.04,121.5,111.08
2008,2008.0,95.33333333333333,92.34375,88.3695652173913,120.07,112.47,104.82,101.02,112.53,123.6,106.06,105.02,100.4,120.36,108.91
2009,2009.0,94.66666666666667,91.9375,88.91304347826087,120.59,112.72,104.01,101.73,111.74,123.22,105.17,112.1,99.66,119.42,108.71
2010,2010.0,95.0,92.19354838709677,88.82608695652173,117.45,108.76,103.22,101.09,110.61,118.17,101.57,106.18,95.05,117.44,106.71
2011,2011.0,95.29629629629629,92.38709677419355,87.61702127659575,115.7,109.15,105.51,104.63,110.17,117.37,100.83,105.54,92.73,120.84,107.94
2012,2012.0,95.18518518518519,92.3225806451613,89.36170212765957,113.64,104.67,104.51,103.02,108.99,114.1,94.95,105.39,86.51,122.03,105.69
2013,2013.0,94.0,93.82758620689656,86.80851063829788,113.18,106.32,104.43,108.52,116.86,113.37,98.06,105.39,88.39,122.22,107.42
2014,2014.0,94.4074074074074,91.6896551724138,87.93617021276596,114.13,105.61,104.87,106.92,116.9,112.98,99.37,103.06,89.82,116.54,107.28
2015,2015.0,95.48148148148148,89.06896551724138,87.31914893617021,103.72,105.52,104.76,106.0,105.44,104.73,100.43,107.15,90.39,115.26,105.08
2016,2016.0,93.85185185185185,90.21428571428571,87.68085106382979,92.05,94.34,95.4,96.07,104.13,92.84,87.75,93.85,80.28,110.6,95.55
2017,2017.0,92.81481481481481,93.03703703703704,87.74468085106383,92.41,97.26,101.98,92.32,97.54,95.72,92.73,93.79,90.14,106.03,97.98
2018,2018.0,93.4074074074074,93.37037037037037,87.06382978723404,94.95,100.35,101.98,94.15,102.19,98.66,97.91,98.01,93.95,107.8,99.72
2019,2019.0,90.70370370370371,92.77777777777777,87.42553191489361,91.04,85.39,84.41,88.08,93.76,89.02,87.66,90.24,85.66,87.16,86.67
